Data Series,2022 ,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2006 ,2005 ,2004 ,2003 ,2002 ,2001 ,2000 ,1999 ,1998 ,1997 ,1996 ,1995 ,1994 ,1993 ,1992 ,1991 ,1990 ,1989 ,1988 ,1987 ,1986 ,1985 ,1984 ,1983 ,1982 ,1981 ,1980 ,1979 ,1978 ,1977 ,1976 ,1975 ,1974 ,1973 ,1972 ,1971 ,1970 ,1969 ,1968 ,1967 ,1966 ,1965 ,1964 ,1963 ,1962 ,1961 
    Household Durables,104.67,101.576,99.956,100,100.428,100.815,101.902,101.603,101.057,100.347,100.005,99.945,99.801,99.803,99.96,97.506,98.085,98.394,98.923,97.982,98.99,100.661,101.761,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Furniture,105.998,102.634,100.438,100,99.589,99.624,100.216,98.945,97.784,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Furnishings,108.126,102.818,99.848,100,98.514,97.947,98.668,99.085,99.356,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Other Household Textiles,97.774,97.227,99.228,100,101.623,103.222,104.823,106.283,104.165,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Household Appliances,104.089,101.315,99.191,100,101.409,102.44,104.549,104.412,104.363,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Utensils & Others,104.966,101.532,101.588,100,99.724,98.905,98.831,98.931,99.798,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Household Services & Supplies,103.286,101.894,100.507,100,98.555,97.125,94.911,92.38,93.599,91.633,85.915,83.141,76.149,75.028,73.792,72.195,71.432,72.048,75.682,77.413,77.427,77.463,77.373,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Non-Durable Household Goods,103.615,99.974,100.969,100,100.111,99.522,99.71,100.393,101.237,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Domestic & Household Services,103.23,102.222,100.428,100,98.26,96.671,94.001,90.862,92.151,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  Health Care,101.746,99.579,98.463,100,98.905,96.924,94.566,93.56,93.64,91.117,87.786,84.119,82.17,80.712,79.275,75.18,72.256,71.616,71.255,67.499,66.245,64.34,62.534,61.883,61.722,59.531,57.666,56.566,55.748,54.229,52.517,51.246,47.407,45.163,44.16,43.247,42.755,42.909,42.312,37.824,35.044,33.277,31.315,29.245,28.204,27.051,26.625,25.926,24.341,20.739,20.167,20.417,20.454,20.454,18.881,18.604,18.604,18.604,18.604,18.604,18.612,18.604
    Medicines & Health Products,99.858,98.605,98.581,100,100.924,100.731,100.841,100.897,100.061,99.257,97.139,94.729,92.32,91.145,90.971,86.123,82.549,81.036,81.009,79.935,78.76,77.575,76.701,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Medicines & Vitamins,99.783,98.386,98.091,100,101.266,100.913,100.942,100.788,99.729,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Medical Products,100.09,99.291,100.12,100,99.707,100.084,100.484,101.291,101.251,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Outpatient Services,99.498,96.811,96.486,100,98.476,96.725,94.401,91.819,95.523,93.514,90.557,86.122,84.086,82.066,79.868,75.735,72.933,72.418,71.943,65.686,64.242,61.37,58.831,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Fees At Polyclinics,94.428,88.619,89.059,100,100.181,99.535,97.62,95.836,175.939,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Fees At General Practitioners (GP) Clinics,82.815,73.305,77.558,100,99.142,97.166,94.985,93.051,95.364,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Fees At Specialist Outpatient Clinics,101.151,100.379,99.837,100,97.732,95.852,93.754,91.07,92.923,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Dental Services,100.895,97.371,95.19,100,99.995,98.54,97.164,95.719,96.751,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Paramedical Services,104.591,101.942,101.057,100,97.977,96.321,92.767,88.897,87.351,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Hospital Services,104.92,102.998,101.485,100,97.902,94.333,90.345,90.061,87.347,82.901,79.305,74.253,72.1,70.7,69.303,64.838,61.436,60.996,60.498,59.926,59.02,58.784,57.63,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Health Insurance,106.945,104.904,100.009,100,99.943,99.507,97.92,97.417,97.465,95.086,89.021,88.987,88.491,88.155,86.884,86.627,86.936,86.936,86.939,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  Transport,125.793,108.055,99.27,100,99.235,99.756,97.228,99.62,101.073,102.32,100.017,93.402,83.459,75.663,78.081,74.974,73.105,74.312,76.202,75.096,75.24,76.104,76.945,74.301,74.551,78.553,75.093,74.727,73.989,68.75,66.741,64.685,60.144,55.494,52.737,52.2,51.612,53.6,50.863,48.739,48.178,46.887,42.146,36.872,33.54,31.851,31.662,30.354,29.12,20.742,20.655,20.648,20.652,20.675,20.632,20.632,20.612,20.608,20.608,20.539,20.522,20.537
    Private Transport,130.958,109.898,98.641,100,99.68,100.279,96.197,99.222,101.431,103.486,100.734,93.548,81.365,71.572,74.148,71.746,70.347,73.005,75.89,74.077,74.752,76.804,79.162,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Cars,143.699,115.494,100.999,100,99.149,104.327,104.337,109.812,111.914,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Motorcycles,157.964,139.579,117.56,100,122.387,123.774,123.846,119.743,99.393,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Petrol,129.683,109.088,92.687,100,99.914,93.673,85.863,89.354,93.802,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Other Private Transport,94.946,93.196,95.284,100,99.355,98.393,90.897,90.165,91.719,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Public Transport,112.37,104.895,103.075,100,97.584,98.612,100.807,100.906,98.876,96.902,96.549,92.123,91.237,91.517,92.708,87.774,84.579,81.861,81.102,81.138,80.315,79.013,77.148,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Bus & Train Fares,109.326,106.996,106.961,100,95.785,97.866,102.118,103.057,100.403,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Point-To-Point Transport Services,118.341,103.631,99.043,100,100,100,100,99.669,99.323,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Other Public Transport,102.066,97.253,97.67,100,99.577,98,95.814,92.391,87.915,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Other Transport Services,113.6,100.839,96.935,100,99.261,97.779,97.781,100.085,103.285,102.122,98.958,95.916,91.567,88.678,99.11,89.011,86.718,87.385,89.349,90.358,90.611,92.695,93.03,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Air Fares,112.427,100.542,96.615,100,99.261,97.776,97.84,100.213,103.453,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Other Transport,146.841,109.262,106.022,100,99.263,97.866,96.41,97.123,99.384,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  Communication,98.896,100.095,100.681,100,100.924,101.951,101.387,101.766,101.426,101.619,103.061,103.159,104.736,107.123,106.864,106.682,105.858,106.886,108.12,108.136,106.71,106.95,109.492,112.965,114.494,118.842,121.615,122.336,125.369,125.22,126.205,126.205,125.254,122.449,116.846,116.846,116.512,122.184,139.199,139.199,139.199,139.199,139.199,139.199,137.824,133.733,133.733,133.733,133.733,133.733,133.733,133.733,133.733,133.733,133.733,133.733,133.733,133.733,96.585,89.155,89.155,89.155
    Postage & Courier Services,97.149,92.955,102.522,100.001,100.018,100.018,100.018,100.018,95.227,91.942,91.942,91.942,91.942,91.942,91.942,91.513,79.503,79.047,78.976,78.423,78.423,80.374,78.449,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Telecommunication Equipment,98.759,94.782,98.548,100,111.59,118.718,119.92,118.188,117.942,116.795,117.591,120.222,129.032,144.255,145.485,149.552,156.855,186.221,212.15,223.819,230.97,231.84,297.187,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Telecommunication Services,98.915,100.493,100.816,100,100.455,101.217,100.572,101.046,100.728,100.998,102.476,102.463,103.731,105.569,105.243,105.014,104.041,104.286,104.835,104.555,102.895,103.091,104.027,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  Recreation & Culture,103.484,99.228,98.21,100,98.948,97.781,97.462,96.573,96.255,94.593,93.536,92.588,93.926,93.026,94.215,90.804,88.076,88.643,87.616,86.388,87.881,87.791,85.603,84.835,85.576,88.87,89.727,88.65,87.776,86.696,85.163,83.199,80.047,78.596,76.565,74.461,73.6,72.897,72.938,72.242,72.079,71.243,65.411,63.459,60.518,56.399,56.407,56.304,55.754,51.544,50.616,50.421,49.124,49.124,49.124,49.124,49.124,49.124,49.124,49.077,49.124,49.124
    Recreational & Cultural Goods,100.788,98.893,99.17,100,101.507,101.919,102.806,103.371,103.549,103.154,104.306,106.923,108.953,111.031,114.96,118.122,121.963,125.913,130.771,132.932,135.576,139.379,145.037,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Information Processing Equipment,94.752,95.969,99.174,100,99.853,102.373,103.343,104.091,104.469,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Audio-Visual Equipment & Others,100.399,96.035,93.602,100,110.38,109.113,113.141,114.669,117.333,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Games & Toys,98.992,98.822,100.957,100,97.579,99.652,99.886,100.903,99.953,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Pets & Related Products,103.813,100.604,100.314,100,99.848,98.456,96.651,96.833,96.64,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Other Recreational & Cultural Goods,107.168,103.231,101.391,100,99.289,98.347,98.033,97.172,96.014,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Recreational & Cultural Services,105.232,101.068,99.831,100,98.697,97.599,96.89,96.421,95.935,93.57,90.245,87.474,96.951,97.82,97.165,93.222,91.549,90.514,87.055,86.139,85.303,84.165,81.762,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Sport Services & Other Fees,106.053,101.528,99.489,100,98.57,97.933,96.268,94.253,93.746,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Cinema Tickets,113.372,106.689,104.064,100,96.367,94.527,94.043,98.386,95.491,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Charges To Places Of Interest,109.304,92.63,90.569,100,98.371,95.05,92.714,91.323,99.173,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Other Recreational & Cultural Services,100.836,99.417,100.014,100,99.771,98.755,99.432,99.269,98.26,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
"    Newspapers, Books & Stationery",101.583,100.74,100.47,100,99.83,99.794,98.745,93.971,92.607,92.376,92.212,91.952,91.727,91.232,87.913,85.575,84.881,84.145,83.934,76.446,75.102,74.122,73.279,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Newspapers & Magazines,100.006,100,100,100,99.93,100.016,98.044,87.507,87.607,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Books & Stationery,102.559,101.197,100.761,100,99.75,99.616,99.305,99.133,96.6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Holiday Expenses,103.586,98.369,97.03,100,98.076,96.128,95.757,94.615,94.39,92.511,92.039,91.026,87.352,84.367,86.776,81.172,75.276,75.713,73.574,72.958,75.763,75.173,70.433,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Package Tours,107.109,100.026,98.695,100,97.691,96.016,96.356,95.672,95.77,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Hotels & Other Expenses,94.52,94.102,92.746,100,99.561,96.559,93.444,90.535,89.064,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  Education,102.747,100.633,99.37,100,97.661,94.924,92.145,89.395,86.422,83.568,80.478,77.339,74.663,72.206,71.667,68.469,66.652,64.622,62.626,60.425,58.464,57.141,54.993,53.581,51.396,48.951,47.624,45.561,43.789,42.421,40.691,38.204,34.469,31.843,30.216,28.268,27.459,25.647,24.83,23.578,22.9,22.489,21.133,19.506,18.685,17.751,17.418,17.269,16.919,16.152,15.692,15.632,15.82,15.499,15.179,15.42,15.701,15.218,15.578,15.412,14.93,14.874
    Tuition & Other Fees,102.768,100.636,99.358,100,97.624,94.852,92.043,89.267,86.264,83.371,80.195,76.988,74.366,71.886,71.383,68.168,66.406,64.392,62.378,60.141,58.244,56.971,54.803,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Primary Education,100,100,100,100,100,100,100,101,104,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Secondary Education,100.434,100.422,100.389,100.001,100.223,100.49,98.233,98.855,103.788,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
"      Other General, Vocational & Higher Education",99.938,98.413,97.582,100,97.825,94.355,91.543,89.214,86.319,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Enrichment & Supplementary Courses,109.08,105.096,102.553,100,96.704,94.436,91.267,86.905,82.073,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Textbooks & Study Guides,100.783,100.355,100.444,100,100.461,100.457,99.969,99.195,98.611,96.769,96.243,95.128,90.43,88.533,86.765,83.623,80.258,77.588,75.827,74.34,70.487,67.709,65.847,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  Miscellaneous Goods & Services,98.739,98.282,98.823,100,99.635,98.67,98.53,98.284,98.327,97.168,95.396,94.393,93.523,92.913,92.64,90.848,88.857,86.721,83.053,77.989,74.193,74.459,72.023,70.752,69.713,68.544,67.647,66.743,65.856,64.044,60.027,58.074,54.662,52.867,51.188,50.329,47.754,47.563,46.786,43.427,41.335,39.245,36.505,33.59,33.142,32.032,31.313,30.596,28.354,24.676,22.362,21.607,21.47,20.683,19.993,19.29,19.204,18.91,18.586,18.823,18.826,18.833
    Personal Care,100.14,98.496,99.947,100,99.298,99.423,100.405,100.359,100.754,101.097,99.976,99.63,98.598,98.005,97.622,95.585,94.039,93.555,93.205,92.637,92.419,92.906,90.882,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Hairdressing,101.425,99.715,99.914,100,98.538,98.532,97.855,97.351,96.476,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Personal Grooming Services,101.531,101.049,100.671,100,99.92,100.116,99.661,99.347,99.081,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Other Personal Care,99.218,97.114,99.657,100,99.306,99.447,101.593,101.816,102.921,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Alcoholic Drinks & Tobacco,100.16,98.947,99.024,100,99.57,94.8,94.528,94.347,93.399,88.162,87.733,87.163,86.306,85.911,85.422,83.673,81.763,79.441,70.326,60.246,52.28,51.732,47.376,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Spirits & Wine,97.458,97.84,97.588,100,102.004,103.893,103.07,103.234,105.323,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Beer,97.748,95.32,96.158,100,101.01,103.803,106.626,107.636,105.546,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Cigarettes,101.195,99.879,99.879,100,98.945,91.956,91.348,90.94,89.621,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Personal Effects,97.16,96.432,94.88,100,100.58,101.139,98.802,97.443,98.66,98.529,98.739,98.98,99.248,98.133,98.702,97.678,95.631,92.845,95.043,94.779,93.613,94.031,94.324,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Jewellery & Watches,94.082,97.139,98.31,100,99.996,101.823,101.545,101.829,100.737,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Other Personal Effects,98.728,96.071,93.133,100,100.711,100.984,98.183,96.454,98.191,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Social Services,94.962,95.309,97.078,100,99.774,97.994,97.872,97.454,94.88,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Other Miscellaneous Services,95.772,100.02,100.039,100,100.065,100.033,97.944,98.02,97.695,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
All Items Less Imputed Rentals On Owner-Occupied Accommodation,108.705,102.128,99.683,100,99.098,97.85,96.202,95.944,95.875,94.717,92.995,89.73,86.101,83.387,83.746,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
All Items Less Accommodation,108.992,102.197,99.657,100,99.067,97.742,95.971,95.658,95.566,94.421,92.662,89.561,85.923,83.176,83.623,79.332,77.572,76.803,76.378,74.854,74.29,74.531,73.741,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
